User ID,Name,Age,Gender,Country,Subscription Type,Signup Date,Last Active,Monthly Usage (hrs),Satisfaction Score
U0001,User1,50,Male,UK,Basic,2021-12-25,2024-10-16,96.44,10
U0002,User2,35,Male,Brazil,Premium,2023-03-10,2024-03-22,93.92,8
U0003,User3,45,Male,UK,Premium,2021-08-01,2024-03-04,94.17,8
U0004,User4,36,Male,Brazil,Premium,2021-10-05,2024-08-06,97.73,10
U0005,User5,57,Male,India,Free,2022-06-15,2024-04-13,60.5,2
U0006,User6,28,Other,India,Basic,2022-07-05,2024-12-20,27.55,7
U0007,User7,53,Male,UK,Free,2023-08-04,2024-07-08,48.62,10
U0008,User8,63,Female,Brazil,Premium,2023-02-04,2024-03-11,36.2,1
U0009,User9,63,Other,Canada,Premium,2020-01-25,2024-01-10,53.96,7
U0010,User10,57,Male,Germany,Premium,2023-05-23,2024-08-19,86.18,1
U0011,User11,38,Other,Canada,Free,2020-08-07,2024-05-08,57.72,9
U0012,User12,36,Other,Canada,Free,2022-01-28,2024-10-08,36.37,2
U0013,User13,52,Male,India,Free,2020-01-18,2024-06-22,27.91,5
U0014,User14,23,Other,Canada,Basic,2022-08-17,2024-08-13,34.5,3
U0015,User15,34,Male,Brazil,Premium,2022-02-24,2024-03-25,13.94,1
U0016,User16,45,Female,India,Basic,2023-04-26,2024-12-05,18.68,5
U0017,User17,31,Female,Canada,Premium,2023-08-27,2024-04-26,66.72,5
U0018,User18,40,Male,Brazil,Basic,2023-02-08,2024-05-24,17.26,7
U0019,User19,35,Male,Brazil,Free,2022-03-12,2024-04-17,96.29,3
U0020,User20,26,Male,USA,Basic,2023-07-25,2024-09-16,7.95,10
U0021,User21,31,Other,UK,Premium,2020-02-27,2024-11-20,34.06,3
U0022,User22,35,Female,India,Premium,2021-11-13,2024-10-07,50.36,4
U0023,User23,26,Other,USA,Premium,2020-07-27,2024-09-04,66.44,1
U0024,User24,29,Female,Canada,Basic,2022-06-27,2024-08-07,27.95,1
U0025,User25,31,Male,UK,Basic,2022-03-14,2024-03-10,61.61,1
U0026,User26,33,Male,USA,Premium,2021-02-07,2024-11-06,88.62,6
U0027,User27,35,Female,Canada,Premium,2020-08-02,2024-08-13,48.05,10
U0028,User28,34,Male,India,Premium,2020-01-13,2024-07-09,13.79,1
U0029,User29,33,Male,USA,Basic,2021-02-01,2024-07-08,46.37,4
U0030,User30,51,Female,UK,Free,2020-07-24,2024-02-06,73.74,1
U0031,User31,56,Male,Canada,Premium,2022-07-19,2024-03-23,26.24,6
U0032,User32,52,Other,Brazil,Basic,2020-11-04,2024-04-09,36.99,7
U0033,User33,21,Other,Brazil,Premium,2021-11-18,2024-08-24,26.16,3
U0034,User34,26,Female,Canada,Free,2020-09-13,2024-02-02,43.98,7
U0035,User35,64,Female,USA,Free,2020-05-13,2024-03-14,70.14,10
U0036,User36,65,Male,Germany,Premium,2021-12-28,2024-02-25,43.89,4
U0037,User37,34,Male,Canada,Free,2021-12-04,2024-05-08,43.36,10
U0038,User38,35,Male,Brazil,Basic,2022-09-27,2024-05-28,70.1,9
U0039,User39,54,Male,India,Free,2021-03-05,2024-01-24,82.33,8
U0040,User40,35,Other,India,Basic,2022-03-25,2024-09-05,76.34,4
U0041,User41,43,Male,India,Premium,2020-05-01,2024-02-03,25.17,7
U0042,User42,32,Other,Germany,Free,2021-12-09,2024-10-17,8.48,1
U0043,User43,22,Male,USA,Basic,2020-08-26,2024-07-23,37.92,8
U0044,User44,40,Male,Canada,Basic,2023-01-17,2024-05-15,52.91,4
U0045,User45,44,Female,India,Basic,2022-12-23,2024-07-17,86.01,8
U0046,User46,52,Female,USA,Free,2023-02-03,2024-08-08,77.98,6
U0047,User47,64,Female,Germany,Basic,2022-11-01,2024-07-27,44.18,7
U0048,User48,56,Female,Germany,Premium,2021-04-11,2024-10-01,47.7,8
U0049,User49,57,Other,India,Basic,2020-11-28,2024-08-26,77.91,7
U0050,User50,36,Male,Canada,Premium,2021-02-26,2024-08-04,55.9,5
U0051,User51,19,Female,Germany,Premium,2023-02-27,2024-10-08,34.49,5
U0052,User52,19,Male,India,Premium,2020-09-13,2024-09-22,23.96,9
U0053,User53,30,Female,Australia,Basic,2023-06-19,2024-09-03,59.75,7
U0054,User54,51,Other,Canada,Basic,2021-02-10,2024-09-21,92.55,7
U0055,User55,20,Female,Brazil,Premium,2021-12-19,2024-05-15,12.25,4
U0056,User56,22,Male,Germany,Basic,2020-01-01,2024-12-08,31.2,3
U0057,User57,29,Other,India,Basic,2023-12-23,2024-09-05,66.06,4
U0058,User58,40,Female,Australia,Basic,2023-07-10,2024-10-05,67.66,10
U0059,User59,58,Female,Brazil,Free,2021-10-09,2024-01-27,33.24,7
U0060,User60,18,Female,Brazil,Premium,2022-10-05,2024-10-08,13.75,9
U0061,User61,52,Other,UK,Basic,2020-03-25,2024-01-14,13.95,4
U0062,User62,56,Female,Brazil,Free,2020-04-06,2024-12-12,51.84,8
U0063,User63,25,Male,Canada,Free,2020-02-18,2024-09-04,31.17,2
U0064,User64,29,Male,India,Basic,2022-07-05,2024-04-06,8.8,5
U0065,User65,29,Other,Canada,Basic,2020-02-02,2024-06-25,77.03,9
U0066,User66,52,Male,Germany,Free,2023-09-02,2024-01-19,61.78,8
U0067,User67,45,Female,Germany,Free,2023-08-18,2024-08-03,18.68,3
U0068,User68,34,Male,Australia,Premium,2022-10-01,2024-03-21,10.01,10
U0069,User69,37,Other,India,Premium,2021-03-01,2024-01-27,16.15,2
U0070,User70,35,Male,USA,Premium,2021-10-16,2024-05-05,41.62,8
U0071,User71,29,Male,Australia,Free,2020-08-03,2024-08-10,64.74,5
U0072,User72,62,Female,Brazil,Free,2020-08-07,2024-07-19,77.26,5
U0073,User73,40,Male,Canada,Premium,2020-10-04,2024-02-20,64.78,9
U0074,User74,41,Male,Canada,Basic,2022-10-18,2024-08-18,99.17,8
U0075,User75,36,Male,Germany,Premium,2022-04-20,2024-06-09,63.46,1
U0076,User76,22,Female,Germany,Premium,2023-04-18,2024-07-15,38.32,10
U0077,User77,58,Male,India,Basic,2020-06-02,2024-07-19,71.73,2
U0078,User78,33,Other,USA,Premium,2020-05-03,2024-06-19,83.55,1
U0079,User79,56,Other,Brazil,Basic,2023-11-20,2024-06-11,45.81,9
U0080,User80,18,Male,UK,Free,2020-11-02,2024-01-12,46.29,3
U0081,User81,31,Male,Australia,Basic,2021-01-16,2024-03-19,78.41,9
U0082,User82,21,Female,Germany,Basic,2022-07-14,2024-08-10,12.84,1
U0083,User83,28,Other,USA,Premium,2023-11-01,2024-04-07,34.22,9
U0084,User84,51,Female,Brazil,Free,2020-05-01,2024-12-21,86.32,1
U0085,User85,22,Female,India,Premium,2022-11-28,2024-05-15,39.4,4
U0086,User86,60,Female,Canada,Free,2022-08-10,2024-02-11,14.65,10
U0087,User87,64,Other,India,Free,2023-10-19,2024-11-02,72.66,3
U0088,User88,18,Other,UK,Premium,2020-08-20,2024-08-28,5.8,10
U0089,User89,30,Female,Canada,Basic,2022-03-17,2024-05-13,25.28,8
U0090,User90,54,Other,Australia,Premium,2023-06-18,2024-09-14,7.26,3
U0091,User91,27,Female,Australia,Basic,2022-03-02,2024-05-06,64.63,3
U0092,User92,54,Female,Brazil,Free,2020-11-21,2024-05-16,51.6,1
U0093,User93,38,Male,Brazil,Basic,2020-09-20,2024-10-28,64.03,1
U0094,User94,54,Male,Canada,Premium,2023-12-21,2024-07-16,63.39,4
U0095,User95,62,Other,India,Free,2020-03-12,2024-07-12,86.46,4
U0096,User96,29,Male,India,Free,2020-11-12,2024-04-22,89.97,4
U0097,User97,45,Male,USA,Basic,2020-05-25,2024-07-12,26.22,8
U0098,User98,61,Male,Brazil,Premium,2022-04-07,2024-04-10,44.48,3
U0099,User99,52,Other,India,Premium,2023-09-06,2024-03-01,21.89,10
U0100,User100,32,Male,Germany,Basic,2023-01-06,2024-01-18,24.85,9
